id,text,author,tags
1,"Сила приходит тогда, когда ты думаешь, что не можешь, но всё равно идёшь.","Аноним","дисциплина,воля"
2,"Мы — это то, что делаем постоянно. Значит, совершенство — не действие, а привычка.","Аристотель","привычки,рост"
3,"Пока не сделано — кажется невозможным.","Нельсон Мандела","смелость,цели"
4,"Ваше время ограничено — не тратьте его, живя чужой жизнью.","Стив Джобс","время,осознанность"
5,"Тот, кто хочет — ищет возможности. Кто не хочет — ищет причины.","Аноним","намерение,ответственность"
6,"Начни там, где ты есть. Используй то, что у тебя есть. Делай, что можешь.","Артур Эш","старт,действие"
7,"Дисциплина — это мост между целями и достижениями.","Джим Рон","дисциплина,успех"
8,"Маленькие шаги каждый день приводят к большим результатам.","Аноним","микропривычки,рост"
9,"Если ты устаёшь — учись отдыхать, а не сдаваться.","Бэнкси","баланс,устойчивость"
10,"Лучший способ предсказать будущее — создать его.","Питер Друкер","карьера,цели"
11,"Сконцентрируйся на прогрессе, а не на совершенстве.","Аноним","фокус,перфекционизм"
12,"Сомнение убило больше мечтаний, чем неудача.","Сьюзи Кассем","смелость,страх"
13,"Каждый день — новый шанс стать лучше.","Аноним","рост,ежедневно"
14,"Не сравнивай начало своего пути с серединой чужого.","Аноним","осознанность,сравнение"
15,"Ты становишься тем, что повторяешь.","Аноним","привычки,идентичность"
16,"Делай сегодня то, за что завтра скажешь себе спасибо.","Аноним","ответственность,будущее"
17,"Секрет продвижения — начать.","Марк Твен","старт,прокрастинация"
18,"Успех — это сумма маленьких усилий, повторяемых изо дня в день.","Роберт Колльер","микропривычки,успех"
19,"Страх уходит, когда ты действуешь.","Аноним","смелость,действие"
20,"Фокус — это сказать «нет» лишнему.","Стив Джобс","фокус,приоритеты"
21,"Не надо быть великим, чтобы начать, но надо начать, чтобы стать великим.","Зиг Зиглар","старт,мотивация"
22,"Там, где фокус — там и энергия.","Тони Роббинс","фокус,энергия"
23,"Перемены начинаются тогда, когда решение сильнее оправданий.","Аноним","решение,ответственность"
24,"Каждый прогресс — поначалу неловкий.","Аноним","рост,начало"
25,"Делай трудно, пока не станет легко. Делай легко, пока не станет мастерством.","Аноним","навыки,дисциплина"
26,"Не жди идеального момента — сделай момент идеальным.","Аноним","действие,перфекционизм"
27,"Где внимание — там результаты.","Аноним","фокус,результаты"
28,"Шаги маленькие, но ежедневные — побеждают рывки.","Аноним","микропривычки,устойчивость"
29,"Сомнение громче всего перед стартом.","Аноним","страх,старт"
30,"Терпение — это ускоритель для дальних дистанций.","Аноним","терпение,долгосрок"
